service_id,date,exception_type
1,20201217,1
2,20201217,1
2,20210114,1
2,20210121,1
2,20210128,1
2,20210204,1
2,20210211,1
2,20210218,1
2,20210225,1
2,20210304,1
2,20210311,1
2,20210318,1
2,20210325,1
2,20210401,1
2,20210408,1
2,20210415,1
2,20210422,1
2,20210429,1
2,20210506,1
2,20210520,1
2,20210527,1
2,20210603,1
2,20210610,1
2,20210617,1
2,20210624,1
2,20210701,1
2,20210708,1
2,20210715,1
2,20210722,1
2,20210729,1
2,20210805,1
3,20201217,1
3,20210113,1
3,20210120,1
3,20210127,1
3,20210203,1
3,20210210,1
3,20210217,1
3,20210224,1
3,20210303,1
3,20210310,1
3,20210317,1
3,20210324,1
3,20210331,1
3,20210407,1
3,20210414,1
3,20210421,1
3,20210428,1
3,20210505,1
3,20210512,1
3,20210519,1
3,20210526,1
3,20210602,1
3,20210609,1
3,20210616,1
3,20210623,1
3,20210630,1
3,20210707,1
3,20210714,1
3,20210721,1
3,20210728,1
3,20210804,1
4,20201217,1
4,20210111,1
4,20210114,1
4,20210118,1
4,20210121,1
4,20210125,1
4,20210128,1
4,20210201,1
4,20210204,1
4,20210208,1
4,20210211,1
4,20210215,1
4,20210218,1
4,20210222,1
4,20210225,1
4,20210301,1
4,20210304,1
4,20210308,1
4,20210311,1
4,20210315,1
4,20210318,1
4,20210322,1
4,20210325,1
4,20210329,1
4,20210401,1
4,20210408,1
4,20210412,1
4,20210415,1
4,20210419,1
4,20210422,1
4,20210426,1
4,20210429,1
4,20210503,1
4,20210506,1
4,20210510,1
4,20210517,1
4,20210520,1
4,20210527,1
4,20210531,1
4,20210603,1
4,20210607,1
4,20210610,1
4,20210614,1
4,20210617,1
4,20210621,1
4,20210624,1
4,20210628,1
4,20210701,1
4,20210705,1
4,20210708,1
4,20210712,1
4,20210715,1
4,20210719,1
4,20210722,1
4,20210726,1
4,20210729,1
4,20210802,1
4,20210805,1
10,20201217,1
10,20210107,1
10,20210114,1
10,20210121,1
10,20210128,1
10,20210204,1
10,20210211,1
10,20210218,1
10,20210225,1
10,20210304,1
10,20210311,1
10,20210318,1
10,20210325,1
10,20210401,1
10,20210408,1
10,20210415,1
10,20210422,1
10,20210429,1
10,20210506,1
10,20210520,1
10,20210527,1
10,20210603,1
10,20210610,1
10,20210617,1
10,20210624,1
10,20210701,1
10,20210708,1
10,20210715,1
10,20210722,1
10,20210729,1
10,20210805,1
12,20201217,1
12,20210107,1
12,20210110,1
12,20210114,1
12,20210117,1
12,20210121,1
12,20210124,1
12,20210128,1
12,20210131,1
12,20210204,1
12,20210207,1
12,20210211,1
12,20210214,1
12,20210218,1
12,20210221,1
12,20210225,1
12,20210228,1
12,20210304,1
12,20210307,1
12,20210311,1
12,20210314,1
12,20210318,1
12,20210321,1
12,20210325,1
12,20210328,1
12,20210401,1
12,20210404,1
12,20210405,1
12,20210408,1
12,20210411,1
12,20210415,1
12,20210418,1
12,20210422,1
12,20210425,1
12,20210429,1
12,20210502,1
12,20210506,1
12,20210509,1
12,20210516,1
12,20210520,1
12,20210523,1
12,20210527,1
12,20210530,1
12,20210603,1
12,20210606,1
12,20210610,1
12,20210613,1
12,20210617,1
12,20210620,1
12,20210624,1
12,20210627,1
12,20210701,1
12,20210704,1
12,20210708,1
12,20210711,1
12,20210715,1
12,20210718,1
12,20210722,1
12,20210725,1
12,20210729,1
12,20210801,1
12,20210805,1
12,20210808,1
20,20201217,1
20,20201231,1
20,20210114,1
20,20210121,1
20,20210128,1
20,20210204,1
20,20210211,1
20,20210218,1
20,20210225,1
20,20210304,1
20,20210311,1
20,20210318,1
20,20210325,1
20,20210401,1
20,20210408,1
20,20210415,1
20,20210422,1
20,20210429,1
20,20210506,1
20,20210520,1
20,20210527,1
20,20210603,1
20,20210610,1
20,20210617,1
20,20210624,1
20,20210701,1
20,20210708,1
20,20210715,1
20,20210722,1
20,20210729,1
20,20210805,1
22,20201217,1
22,20201231,1
22,20210107,1
22,20210114,1
22,20210121,1
22,20210128,1
22,20210204,1
22,20210211,1
22,20210218,1
22,20210225,1
22,20210304,1
22,20210311,1
22,20210318,1
22,20210325,1
22,20210401,1
22,20210408,1
22,20210415,1
22,20210422,1
22,20210429,1
22,20210513,1
22,20210520,1
22,20210527,1
22,20210603,1
22,20210610,1
22,20210617,1
22,20210624,1
22,20210701,1
22,20210708,1
22,20210715,1
22,20210722,1
22,20210729,1
22,20210805,1
23,20201217,1
23,20201231,1
23,20210107,1
23,20210114,1
23,20210121,1
23,20210128,1
23,20210204,1
23,20210211,1
23,20210218,1
23,20210225,1
23,20210304,1
23,20210311,1
23,20210318,1
23,20210325,1
23,20210401,1
23,20210408,1
23,20210415,1
23,20210422,1
23,20210429,1
23,20210506,1
23,20210520,1
23,20210527,1
23,20210603,1
23,20210610,1
23,20210617,1
23,20210624,1
23,20210701,1
23,20210708,1
23,20210715,1
23,20210722,1
23,20210729,1
23,20210805,1
24,20201217,1
24,20201231,1
24,20210107,1
24,20210114,1
24,20210115,1
24,20210121,1
24,20210122,1
24,20210128,1
24,20210129,1
24,20210204,1
