service_id,date,exception_type
1,20201217,1
2,20201217,1
2,20210114,1
2,20210121,1
2,20210128,1
2,20210204,1
2,20210211,1
2,20210218,1
2,20210225,1
2,20210304,1
2,20210311,1
2,20210318,1
2,20210325,1
2,20210401,1
2,20210408,1
2,20210415,1
2,20210422,1
2,20210429,1
2,20210506,1
2,20210520,1
2,20210527,1
2,20210603,1
2,20210610,1
2,20210617,1
2,20210624,1
2,20210701,1
2,20210708,1
2,20210715,1
2,20210722,1
2,20210729,1
2,20210805,1
4,20201217,1
4,20210111,1
4,20210114,1
4,20210118,1
4,20210121,1
4,20210125,1
4,20210128,1
4,20210201,1
4,20210204,1
4,20210208,1
4,20210211,1
4,20210215,1
4,20210218,1
4,20210222,1
4,20210225,1
4,20210301,1
4,20210304,1
4,20210308,1
4,20210311,1
4,20210315,1
4,20210318,1
4,20210322,1
4,20210325,1
4,20210329,1
4,20210401,1
4,20210408,1
4,20210412,1
4,20210415,1
4,20210419,1
4,20210422,1
4,20210426,1
4,20210429,1
4,20210503,1
4,20210506,1
4,20210510,1
4,20210517,1
4,20210520,1
4,20210527,1
4,20210531,1
4,20210603,1
4,20210607,1
4,20210610,1
4,20210614,1
4,20210617,1
4,20210621,1
4,20210624,1
4,20210628,1
4,20210701,1
4,20210705,1
4,20210708,1
4,20210712,1
4,20210715,1
4,20210719,1
4,20210722,1
4,20210726,1
4,20210729,1
4,20210802,1
4,20210805,1
6,20201217,1
6,20210111,1
6,20210112,1
6,20210113,1
6,20210114,1
6,20210118,1
6,20210119,1
6,20210120,1
6,20210121,1
6,20210125,1
6,20210126,1
6,20210127,1
6,20210128,1
6,20210201,1
6,20210202,1
6,20210203,1
6,20210204,1
6,20210208,1
6,20210209,1
6,20210210,1
6,20210211,1
6,20210215,1
6,20210216,1
6,20210217,1
6,20210218,1
6,20210222,1
6,20210223,1
6,20210224,1
6,20210225,1
6,20210301,1
6,20210302,1
6,20210303,1
6,20210304,1
6,20210308,1
6,20210309,1
6,20210310,1
6,20210311,1
6,20210315,1
6,20210316,1
6,20210317,1
6,20210318,1
6,20210322,1
6,20210323,1
6,20210324,1
6,20210325,1
6,20210329,1
6,20210330,1
6,20210331,1
6,20210401,1
6,20210406,1
6,20210407,1
6,20210408,1
6,20210412,1
6,20210413,1
6,20210414,1
6,20210415,1
6,20210419,1
6,20210420,1
6,20210421,1
6,20210422,1
6,20210426,1
6,20210428,1
6,20210429,1
6,20210503,1
6,20210504,1
6,20210505,1
6,20210506,1
6,20210510,1
6,20210511,1
6,20210512,1
6,20210517,1
6,20210518,1
6,20210519,1
6,20210520,1
6,20210525,1
6,20210526,1
6,20210527,1
6,20210531,1
6,20210601,1
6,20210602,1
6,20210603,1
6,20210607,1
6,20210608,1
6,20210609,1
6,20210610,1
6,20210614,1
6,20210615,1
6,20210616,1
6,20210617,1
6,20210621,1
6,20210622,1
6,20210623,1
6,20210624,1
6,20210628,1
6,20210629,1
6,20210630,1
6,20210701,1
6,20210705,1
6,20210706,1
6,20210707,1
6,20210708,1
6,20210712,1
6,20210713,1
6,20210714,1
6,20210715,1
6,20210719,1
6,20210720,1
6,20210721,1
6,20210722,1
6,20210726,1
6,20210727,1
6,20210728,1
6,20210729,1
6,20210802,1
6,20210803,1
6,20210804,1
6,20210805,1
8,20201217,1
8,20210107,1
10,20201217,1
10,20210107,1
10,20210114,1
10,20210121,1
10,20210128,1
10,20210204,1
10,20210211,1
10,20210218,1
10,20210225,1
10,20210304,1
10,20210311,1
10,20210318,1
10,20210325,1
10,20210401,1
10,20210408,1
10,20210415,1
10,20210422,1
10,20210429,1
10,20210506,1
10,20210520,1
10,20210527,1
10,20210603,1
10,20210610,1
10,20210617,1
10,20210624,1
10,20210701,1
10,20210708,1
10,20210715,1
10,20210722,1
10,20210729,1
10,20210805,1
22,20201217,1
22,20201231,1
22,20210107,1
22,20210114,1
22,20210121,1
22,20210128,1
22,20210204,1
22,20210211,1
22,20210218,1
22,20210225,1
22,20210304,1
22,20210311,1
22,20210318,1
22,20210325,1
22,20210401,1
22,20210408,1
22,20210415,1
22,20210422,1
22,20210429,1
22,20210513,1
22,20210520,1
22,20210527,1
22,20210603,1
22,20210610,1
22,20210617,1
22,20210624,1
22,20210701,1
22,20210708,1
22,20210715,1
22,20210722,1
22,20210729,1
22,20210805,1
23,20201217,1
23,20201231,1
23,20210107,1
23,20210114,1
23,20210121,1
23,20210128,1
23,20210204,1
23,20210211,1
23,20210218,1
23,20210225,1
23,20210304,1
23,20210311,1
23,20210318,1
23,20210325,1
23,20210401,1
23,20210408,1
23,20210415,1
23,20210422,1
23,20210429,1
23,20210506,1
23,20210520,1
23,20210527,1
23,20210603,1
23,20210610,1
23,20210617,1
23,20210624,1
23,20210701,1
23,20210708,1
23,20210715,1
23,20210722,1
23,20210729,1
23,20210805,1
31,20201217,1
31,20201228,1
31,20210104,1
31,20210107,1
31,20210111,1
31,20210114,1
31,20210118,1
31,20210121,1
31,20210125,1
31,20210128,1
31,20210201,1
31,20210204,1
31,20210208,1
31,20210211,1
31,20210215,1
31,20210218,1
